,model,bs,seq_len,speed
48,distilroberta-base,1,256,0.04095149040222168
49,EleutherAI/gpt-neo-125M,1,256,0.08250570297241211
50,facebook/muppet-roberta-base,1,256,0.07638669013977051
51,funnel-transformer/medium-base,1,256,0.12014174461364746
52,funnel-transformer/small-base,1,256,0.08720064163208008
53,google/bigbird-roberta-base,1,256,0.1599867343902588
54,google/electra-base-discriminator,1,256,0.0801384449005127
55,google/mobilebert-uncased,1,256,0.07236313819885254
56,gpt2,1,256,0.08710169792175293
57,microsoft/deberta-v3-base,1,256,0.12964749336242676
58,roberta-base,1,256,0.0791318416595459
59,squeezebert/squeezebert-uncased,1,256,0.0627596378326416
60,albert-base-v2,2,32,0.03739452362060547
61,bert-base-uncased,2,32,0.044757843017578125
62,distilgpt2,2,32,0.024132966995239258
63,distilroberta-base,2,32,0.023653745651245117
64,EleutherAI/gpt-neo-125M,2,32,0.04793834686279297
65,facebook/muppet-roberta-base,2,32,0.045029401779174805
66,funnel-transformer/medium-base,2,32,0.06427669525146484
67,funnel-transformer/small-base,2,32,0.0496675968170166
68,google/bigbird-roberta-base,2,32,0.1236269474029541
69,google/electra-base-discriminator,2,32,0.045088768005371094
70,google/mobilebert-uncased,2,32,0.04252266883850098
71,gpt2,2,32,0.0457768440246582
72,microsoft/deberta-v3-base,2,32,0.07405805587768555
73,roberta-base,2,32,0.04283452033996582
74,squeezebert/squeezebert-uncased,2,32,0.03688502311706543
75,albert-base-v2,2,64,0.05157637596130371
76,bert-base-uncased,2,64,0.05526113510131836
77,distilgpt2,2,64,0.029360294342041016
78,distilroberta-base,2,64,0.030052900314331055
79,EleutherAI/gpt-neo-125M,2,64,0.05660748481750488
80,facebook/muppet-roberta-base,2,64,0.05379128456115723
81,funnel-transformer/medium-base,2,64,0.08047676086425781
82,funnel-transformer/small-base,2,64,0.058498382568359375
83,google/bigbird-roberta-base,2,64,0.13576412200927734
84,google/electra-base-discriminator,2,64,0.05531883239746094
85,google/mobilebert-uncased,2,64,0.051674604415893555
86,gpt2,2,64,0.05860495567321777
87,microsoft/deberta-v3-base,2,64,0.0871579647064209
88,roberta-base,2,64,0.05315828323364258
89,squeezebert/squeezebert-uncased,2,64,0.044825077056884766
90,albert-base-v2,2,128,0.07848405838012695
91,bert-base-uncased,2,128,0.0765540599822998
92,distilgpt2,2,128,0.043013811111450195
93,distilroberta-base,2,128,0.04052257537841797
94,EleutherAI/gpt-neo-125M,2,128,0.07836294174194336
95,facebook/muppet-roberta-base,2,128,0.08132505416870117
96,funnel-transformer/medium-base,2,128,0.107696533203125
97,funnel-transformer/small-base,2,128,0.07802462577819824
98,google/bigbird-roberta-base,2,128,0.15890979766845703
99,google/electra-base-discriminator,2,128,0.07580399513244629
100,google/mobilebert-uncased,2,128,0.06398177146911621
101,gpt2,2,128,0.08201026916503906
102,microsoft/deberta-v3-base,2,128,0.11807394027709961
103,roberta-base,2,128,0.07790613174438477
104,squeezebert/squeezebert-uncased,2,128,0.05766010284423828
105,albert-base-v2,2,256,0.13323497772216797
106,bert-base-uncased,2,256,0.12822866439819336
107,distilgpt2,2,256,0.06939888000488281
108,distilroberta-base,2,256,0.0657958984375
109,EleutherAI/gpt-neo-125M,2,256,0.14029407501220703
110,facebook/muppet-roberta-base,2,256,0.12606024742126465
111,funnel-transformer/medium-base,2,256,0.1811065673828125
112,funnel-transformer/small-base,2,256,0.12713360786437988
113,google/bigbird-roberta-base,2,256,0.2156238555908203
114,google/electra-base-discriminator,2,256,0.12938499450683594
115,google/mobilebert-uncased,2,256,0.10514712333679199
116,gpt2,2,256,0.13317251205444336
117,microsoft/deberta-v3-base,2,256,0.195204496383667
118,roberta-base,2,256,0.12857365608215332
119,squeezebert/squeezebert-uncased,2,256,0.08228826522827148
